,bike_name,price,city,kms_driven,owner,age,power,brand
83,KTM Duke 250cc,130000.0,Gandhidham,17500.0,Second Owner,4.0,250.0,KTM
173,KTM RC 200cc,118000.0,Delhi,11200.0,Second Owner,5.0,200.0,KTM
1664,KTM RC 390cc,150000.0,Jalandhar,9000.0,Second Owner,4.0,390.0,KTM
2044,KTM RC 390cc,150000.0,Jalandhar,9000.0,Second Owner,4.0,390.0,KTM
2404,KTM Duke 250cc,120000.0,Chennai,10536.0,Second Owner,4.0,250.0,KTM
2884,KTM Duke 390cc,110000.0,Noida,27240.0,Second Owner,7.0,390.0,KTM
3891,KTM Duke 390cc,110000.0,Noida,27240.0,Second Owner,7.0,390.0,KTM
4068,KTM RC 390cc,135000.0,Bhopal,15000.0,Second Owner,7.0,390.0,KTM
4756,KTM Duke 390cc,140000.0,Hyderabad,37000.0,Second Owner,5.0,390.0,KTM
5120,KTM Duke 200cc,120000.0,Jhajjar,16000.0,Second Owner,7.0,200.0,KTM
5498,KTM Duke 390cc,190000.0,Kanpur Nagar,4159.0,Second Owner,4.0,390.0,KTM
5562,KTM RC 390cc,170000.0,Bangalore,15547.0,Second Owner,4.0,390.0,KTM
8005,KTM Duke 390cc,130000.0,Delhi,15000.0,Second Owner,5.0,390.0,KTM
8031,KTM RC 390cc,145000.0,Vizianagaram,24000.0,Second Owner,6.0,390.0,KTM
8197,KTM Duke 200cc,860000.0,Delhi,12000.0,Second Owner,5.0,200.0,KTM
8417,KTM RC 390cc,115000.0,Challakere,23000.0,Second Owner,5.0,390.0,KTM
